,Title,Abstract,DOI,Link,Source,Valido,Comentario,métrica,algoritmos,deporte,liga,sexo,balanceo,preprocesado,volumen DS,features,disponibilidad de datos,link a datos,objetivo,atributo a predecir,Resultado,origen datos,año datos,autores,mejoras en comparación,críticas
Ivan,Challenging parachute payments and unmasking English football’s finances,"This commentary provides a rapid analysis of the impact of COVID-19 on English football’s finances. The focus surrounds the distribution of wealth and financial disparity between clubs in the English football system leading to overspending and potential insolvency. We consider the impact of broadcast rights distribution, solidarity payments and parachute payments and provide strategic direction for a collective recovery. The intention is to stimulate discussion and analysis on how football governing bodies can use the COVID-19 pandemic to reset the finances of English football. Such discussion provides a more balanced, competitive suite of competitions that tackle financial inequality and put aside self-interest. We reposition the winner takes all narrative, requesting clubs to reflect on the sporting product that has led to both success and failure at an individual club level. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/23750472.2020.1792745,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088244986&doi=10.1080%2f23750472.2020.1792745&partnerID=40&md5=13d936fce5a1d36ab6c76fae74dd72ce,SCOPUS,No,Economía,,,,,,,,,,,,,,,,,,,
Ivan,"Erratum regarding previously published articles (Journal of Urban Management (2018) 7(3) (181–189), (S2226585617300675), (10.1016/j.jum.2018.12.005))","Declaration of Competing Interest statements were not included in the published version of the following articles that appeared in previous issues of Journal of Urban Management. The appropriate Declaration/Competing Interest statements, provided by the Authors, are included below. 1. “Review of environment responsiveness of building regulations in Jaipur [Journal of Urban Management, 2018;7/2:111–120]. 10.1016/j.jum.2018.06.001. The authors were contacted after publication to request a Declaration of Interest statement. 2. “Participatory action research as a means of achieving ecological wisdom within climate change resiliency planning [Journal of Urban Management, 2019;7/3:152–160]. 10.1016/j.jum.2018.05.003. The authors were contacted after publication to request a Declaration of Interest statement. 3. “Winners in the urban champions league â€“ A performance assessment of Japanese cities by means of dynamic and super-efficient DEA [Journal of Urban Management, 2018;7/1:6–20]. 10.1016/j.jum.2018.01.001. The authors were contacted after publication to request a Declaration of Interest statement. 4. “Does urban mixed use development approach explain spatial analysis of inner city decay? [Journal of Urban Management, 2019;8/2:245–260]. 10.1016/j.jum.2019.01.003. The authors were contacted after publication to request a Declaration of Interest statement. 5. “Assessing urban sustainability of slum settlements in Bangladesh: Evidence from Chittagong city [Journal of Urban Management, 2018;7/1:32–42]. 10.1016/j.jum.2018.03.002. The authors were contacted after publication to request a Declaration of Interest statement. 6. “A novel condominium management mode in Taiwan [Journal of Urban Management, 2020;9/1:6–18]. 10.1016/j.jum.2019.08.002. The authors were contacted after publication to request a Declaration of Interest statement. 7. “The â€œClassification - Strategiesâ€ method for the eco-transition of â€œmine-cityâ€ system-taking Xuzhou city as an example [Journal of Urban Management, 2020;9/3:360–371]. 10.1016/j.jum.2020.04.003. The authors were contacted after publication to request a Declaration of Interest statement. 8. “Does body fat change with car ownership rates? A longitudinal survey of gender differences [Journal of Urban Management, 2020;9/1:19–34]. 10.1016/j.jum.2019.08.003. The authors were contacted after publication to request a Declaration of Interest statement. 9. “Formal institutions, informal institutions and entrepreneurial activity: A comparative relationship between rural and urban areas in Colombia [Journal of Urban Management, 2019;8/3:458–471]. 10.1016/j.jum.2019.06.002. The authors were contacted after publication to request a Declaration of Interest statement. 10. “The ecological wisdom of plan-making [Journal of Urban Management, 2019;7/3:124–130]. 10.1016/j.jum.2018.04.004. The authors were contacted after publication to request a Declaration of Interest statement. 11. “Ellen Swallow Richards and the “Science of Right Living”: 19th century foundations for practice research supporting individual, social and ecological resilience and environmental justice [Journal of Urban Management, 2019;7/3:131–140]. 10.1016/j.jum.2018.12.004. The authors were contacted after publication to request a Declaration of Interest statement. 12. “White fragility as an obstacle to anti-racist resilience planning: Opportunities for equity-conscious partnerships [Journal of Urban Management, 2019;7/3:181–189]. 10.1016/j.jum.2018.12.005. The authors were contacted after publication to request a Declaration of Interest statement. 13. “Challenges for urban conservation of core area in pilgrim cities of India [Journal of Urban Management, 2019;8/3:472–484]. 10.1016/j.jum.2019.05.001. The authors were contacted after publication to request a Declaration of Interest statement. 14. “Study on the substantiation of location equilibrium in the CUE model [Journal of Urban Management, 2019;8/1:89–108]. 10.1016/j.jum.2018.09.005. The authors were contacted after publication to request a Declaration of Interest statement. 15. “Analysis of city size distribution in Ethiopia: Empirical evidence from 1984 to 2012 [Journal of Urban Management, 2019;8/2:237–244]. 10.1016/j.jum.2018.12.007. The authors were contacted after publication to request a Declaration of Interest statement. 16. “Ecological wisdom: Reclaiming the cultural landscape of the Okanagan Valley [Journal of Urban Management, 2019;7/3:172–180]. 10.1016/j.jum.2018.05.004. The authors were contacted after publication to request a Declaration of Interest statement. 17. “Determining the capacity infill development in growing metropolitans: A case study of Urmia city [Journal of Urban Management, 2019;8/2:316–327]. 10.1016/j.jum.2019.04.001. The authors were contacted after publication to request a Declaration of Interest statement. 18. “Assessment and modelling of urban road networks using Integrated Graph of Natural Road Network (a GIS-based approach) [Journal of Urban Management, 2019;8/1:109–125]. 10.1016/j.jum.2018.11.001. The authors were contacted after publication to request a Declaration of Interest statement. 19. “From ecosystem services to Ecological Devices: The CoPED Summer School experience in the Simeto River Valley, Italy [Journal of Urban Management, 2019;7/3:161–171]. 10.1016/j.jum.2018.04.005. The authors were contacted after publication to request a Declaration of Interest statement. 20. “Land selection criteria for lights out factory districts during the industry 4.0 process [Journal of Urban Management, 2019;8/3:377–385]. 10.1016/j.jum.2019.01.001. The authors were contacted after publication to request a Declaration of Interest statement. 21. “Can the Laffer curve become a policy tool for reducing tax evasion? Stratification of property tax collection by land use [Journal of Urban Management, 2019;8/1:57–74]. 10.1016/j.jum.2018.09.001. The authors were contacted after publication to request a Declaration of Interest statement. 22. “Classification of cities in Bangladesh based on remote sensing derived spatial characteristics [Journal of Urban Management, 2018;8/2:206–224]. 10.1016/j.jum.2018.12.001. The authors were contacted after publication to request a Declaration of Interest statement. 23. “Geo CPS: Spatial challenges and opportunities for CPS in the geographic dimension [Journal of Urban Management, 2019;8/3:331–341]. 10.1016/j.jum.2019.09.005. The authors were contacted after publication to request a Declaration of Interest statement. 24. “Assessment of sanitation service quality in urban slums of Khulna city based on SERVQUAL and AHP model: A case study of railway slum, Khulna, Bangladesh [Journal of Urban Management, 2019;8/1:20–27]. 10.1016/j.jum.2018.08.002. The authors were contacted after publication to request a Declaration of Interest statement. © 2020 Zhejiang University and Chinese Association of Urban Management",10.1016/j.jum.2020.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101423561&doi=10.1016%2fj.jum.2020.12.002&partnerID=40&md5=9a6fd0a241da15a72565c38646d798ae,SCOPUS,No,qué,,,,,,,,,,,,,,,,,,,
Ivan,Comparing the healthy development of youth Australian Rules Footballers across talent development and community settings,"Objectives This study aimed to compare talent development athletes to community-level athletes in Australian Rules Football across various markers of healthy youth development. Methods Survey data were collected from 363 youth athletes (126 women, 232 men, 5 not reported; Mage=18.69 years, SDage=2.62 years, age range 16–25 years) playing Australian Rules Football at a talent development (recruited from Australian Football League Talent Pathway, n=220) or community (n=143) level. Measures included markers of physical health (eg, general health, risk-taking behaviours), psychological and emotional well-being (eg, mental health symptoms, life satisfaction), family and social relationships (eg, social support, relationship status), educational and occupational attainment/engagement (eg, career satisfaction, education), ethical behaviour (eg, moral self-image), civic engagement, life skills (eg, self-mastery, coping), and demographics. Results Based on regression models, relative to community-level athletes, talent development athletes reported better physical health (d=0.51), lower injury rates (OR=0.50) and less problematic drug use (d=−0.46). Talent development athletes also reported better psychological and emotional well-being, evidenced by lower stress (d=−0.30), higher life satisfaction (d=0.47) and less problematic gambling (d=−0.34). Additionally, talent development athletes reported higher family support (d=0.49), lower likelihood of poor educational outcomes (less than expected educational stage; OR=0.37), lower intention to complete less than year 12 education (OR=0.18), higher career satisfaction (d=0.42), higher self-mastery (d=0.37) and higher perfectionistic striving (d=0.59). Conclusion Findings demonstrate markers of healthier development within talent development athletes relative to community athlete peers. Investment in community-level sports may be warranted to improve healthy development. However, further causal evidence is required. © Author(s) (or their employer(s)) 2024.",10.1136/bmjsem-2023-001799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193283116&doi=10.1136%2fbmjsem-2023-001799&partnerID=40&md5=9d080cdcd07cba994420c65d059164be,SCOPUS,No,Esto no tiene que ver,,,,,,,,,,,,,,,,,,,
Ivan,Professional boxing analysis with T-Patterns,"Identifying performance indicators in professional boxing trough T-pattern analysis (TPA) was a priority objective of the present study. We accessed data through the boxrec.com portal, where 15 boxing fights were selected. All these fights concluded in the first or second round and belonged to champions (lb. for lb.) of international organizations recognized in professional boxing. The boxers' interactive decisions were approached through an observational methodology. For the conformation and behavioral record, a mixed registration system was agreed upon by two former exprofessional boxers. The data were analyzed through Theme (TPA) to reveal differences relating to the outcome (Winner vs Loser), in terms of temporal regularities and number of occurrences through Chi-square (χ2). More percentages of individual T-Patterns were found in winners than in losers, and winning boxers showed greater decisional complexity than the losers. However, these differences between both groups of boxers were not supported by Chi-square (χ2). © 2021",10.1016/j.physbeh.2021.113329,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100060386&doi=10.1016%2fj.physbeh.2021.113329&partnerID=40&md5=013df9e54220f7bfcf673dfb7ef10595,SCOPUS,No,"No vamos a usar boxeo, además no veo nada de información útil",,,,,,,,,,,,,,,,,,,
Ivan,A simple and flexible Bayesian method for inferring step changes in cognition,"Human behavioral data often show patterns of sudden change over time. Sometimes the causes of these step changes are internal, such as learning curves changing abruptly when a learner implements a new rule. Sometimes the cause is external, such as people’s opinions about a topic changing in response to a new relevant event. Detecting change points in sequences of binary data is a basic statistical problem with many existing solutions, but these solutions rarely seem to be used in psychological modeling. We develop a simple and flexible Bayesian approach to modeling step changes in cognition, implemented as a graphical model in JAGS. The model is able to infer how many change points are justified by the data, as well as the locations of the change points. The basic model is also easily extended to include latent-mixture and hierarchical structures, allowing it to be tailored to specific cognitive modeling problems. We demonstrate the adequacy of this basic model by applying it to the classic Lindisfarne scribes problem, and the flexibility of the modeling approach is demonstrated through two new applications. The first involves a latent-mixture model to determine whether individuals learn categories incrementally or in discrete stages. The second involves a hierarchical model of crowd-sourced predictions about the winner of the US National Football League’s Most Valuable Player for the 2016–2017 season. © 2018, Psychonomic Society, Inc.",10.3758/s13428-018-1087-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052129945&doi=10.3758%2fs13428-018-1087-7&partnerID=40&md5=f20cd55e8321d1ebc805db7a1150d234,SCOPUS,No,No tiene que ver,,,,,,,,,,,,,,,,,,,
Ivan,To be a champion of the 24-h ultramarathon race. If not the heart … mosaic theory?,"This comprehensive case analysis aimed to identify the features enabling a runner to achieve championship in 24-h ultramarathon (UM) races. A 36-year-old, multiple medalist of the World Championships in 24-h running, was assessed before, one and 10 days after a 24-h run. Results of his extensive laboratory and cardiological diagnostics with transthoracic echocardiography (TTE) and a one-time cardiopulmonary exercise test (CPET) were analyzed. After 12 h of running (approximately 130 km), the athlete experienced an increasing pain in the right knee. His baseline clinical data were within the normal range. High physical efficiency in CPET (VO2max 63 mL/kg/min) was similar to the average achieved by other ultramarathoners who had significantly worse results. Thus, we also performed genetic tests and assessed his psychological profile, body composition, and markers of physical and mental stress (serotonin, cortisol, epinephrine, prolactin, testosterone, and luteinizing hormone). The athlete had a mtDNA haplogroup H (HV0a1 subgroup, belonging to the HV cluster), characteristic of athletes with the highest endurance. Psychological studies have shown high and very high intensity of the properties of individual scales of the tools used mental resilience (62–100% depending on the scale), openness to experience (10th sten), coherence (10th sten), positive perfectionism (100%) and overall hope for success score (10th sten). The athlete himself considers the commitment and mental support of his team to be a significant factor of his success. Body composition assessment (%fat 13.9) and the level of stress markers were unremarkable. The tested athlete showed a number of features of the champions of ultramarathon runs, such as: inborn predispositions, mental traits, level of training, and resistance to pain. However, none of these features are reserved exclusively for “champions”. Team support’s participation cannot be underestimated. The factors that guarantee the success of this elite 24-h UM runner go far beyond physiological and psychological explanations. Further studies are needed to identify individual elements of the putative “mosaic theory of being a champion”. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/ijerph18052371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101830607&doi=10.3390%2fijerph18052371&partnerID=40&md5=cf3d8c87e3d04d27372bd059c7e3dfd2,SCOPUS,No,"Está más orientado a los datos biométricos del corredor, cosa que no tendremos acceso y además no pensabamos hacerlo sobre corredores",,,,,,,,,,,,,,,,,,,
Ivan,Brain endurance training improves soccer-specific technical skills and cognitive performance in fatigued professional soccer players,"Objectives: Brain Endurance Training (BET) — the addition of mentally fatiguing cognitive tasks to standard physical training — could improve performance in soccer. We tested whether BET, with cognitive tasks intermixed with physical training activities, improved players' cognitive and soccer-specific technical performance compared to physical training alone when fresh and fatigued. Design: The study employed a pre/training/midtest/training/posttest design. Methods: 31 professional male soccer players were randomly assigned to BET or control groups and completed 18 physical training sessions over 6 weeks. In between the physical training activities, the BET group completed demanding cognitive tasks, whereas the control group rested. Players completed the Loughborough soccer passing (LSPT) and shooting test (LSST) before and after completing a 30-min Stroop task. A brief psychomotor vigilance test (PVT-B), a visual analog rating of mental fatigue (MF-VAS), and rating of perceived exertion (RPE) were measured during testing and training. Results: During testing, the 30-min Stroop task elicited a state of MF, confirmed by higher subjective ratings (P < .01). Compared to pre-testing, at mid- and post-testing, the BET group improved passing (all P < .01), shooting (all P < .01), and PVT-B performance (all P < .01) when tested after (fatigued) but not before (fresh) the Stroop task, whereas the control group did not change performance either way. During training the BET group reported higher MF (P < .01) and exhibited slower PVT-B responses (P < .01) compared to control. Conclusions: Intermixed BET was more effective than physical training alone at improving cognitive and soccer-specific technical performance of professional soccer players when fatigued. © 2024 The Authors",10.1016/j.jsams.2024.08.203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202971752&doi=10.1016%2fj.jsams.2024.08.203&partnerID=40&md5=4c3338269d103c68df214fd2e3b632ae,SCOPUS,No,Biología,,,,,,,,,,,,,,,,,,,
Ivan,A large-scale exploratory study of android sports apps in the google play store,"Context: Prior studies on mobile app analysis often analyze apps across different categories or focus on a small set of apps within a category. These studies either provide general insights for an entire app store which consists of millions of apps, or provide specific insights for a small set of apps. However, a single app category can often contain tens of thousands to hundreds of thousands of apps. For example, according to AppBrain, there are 46,625 apps in the “Sports” category of Google Play apps. Analyzing such a targeted category of apps can provide more specific insights than analyzing apps across categories while still benefiting many app developers interested in the category. Objective: This work aims to study a large number of apps from a single category (i.e., the sports category). Our work can provide two folds contributions: 1) identifying insights that are specific to tens of thousands of sports apps, and 2) providing empirical evidence on the benefits of analyzing apps in a specific category. Method: We perform an empirical study on over two thousand sports apps in the Google Play Store. We study the characteristics of these apps (e.g., their targeted sports types and main functionalities) through manual analysis, the topics in the user review through topic modeling, as well as the aspects that contribute to the negative opinions of users through analysis of user ratings and sentiment. Results: We identified sports apps that cover 16 sports types (e.g., Football, Cricket, Baseball) and 15 main functionalities (e.g., Betting, Betting Tips, Training, Tracking). We also extracted 14 topics from the user reviews, among which three are specific to sports apps (accuracy of prediction, up-to-dateness, and precision of tools). Finally, we observed that users are mainly complaining about the advertisements and quality (e.g., bugs, content quality, streaming quality) of sports apps. Conclusion: It is concluded that analyzing a targeted category of apps (e.g., sports apps) can provide more specific insights than analyzing apps across different categories while still being relevant for a large number (e.g., tens of thousands) of apps. Besides, as a rapid-growing and competitive market, sports apps provide rich opportunities for future research, for example, to study the integration of data science or machine learning techniques in software applications or to study the factors that influence the competitiveness of the apps. © 2023 Elsevier B.V.",10.1016/j.infsof.2023.107321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171436865&doi=10.1016%2fj.infsof.2023.107321&partnerID=40&md5=00de6a77d7e0f82c7ebb44ab736166da,SCOPUS,No,"Es sobre aplicaciones en la play store, no tiene relación",,,,,,,,,,,,,,,,,,,
Ivan,World Heavyweight Championship boxing: The past 30+ years of the male division,"Data from the past 30+ years of the male boxing World Heavyweight Championship (n = 182 bouts) was obtained. The USA were the most represented and produced more champions than any other nation, followed by the UK, Ukraine and Russia. Denmark (100%), Ukraine (85.4%) and the UK (67.3%) produced the greatest 'success rates' in World Heavyweight Championship contests. Where possible, comparisons between bout winners and losers were also made. Winners were significantly taller (p < 0.001, d = 0.35) and had a greater reach (p = 0.003, d = 0.23) when compared to losers. Championship bouts were settled by the following methods: A form of knockout (101), points decision (57), retirement (14), draw (3), disqualification (3), technical decision (1), whilst 3 no contests were omitted from the analysis. Total punches thrown and landed, and jabs and power punches thrown and landed were consistently significantly greater (p < 0.005, d = 0.27-0.73) in winners, compared to losers. Winners were more accurate compared to their losing counterparts by - 8 percentage points. The data presented in the present study clearly show some anthropometric advantages of championship bout winners, compared to their unsuccessful counterparts, and that winners are more active and accurate when compared to losers. The punch output data, albeit very basic, may be useful in informing tactical strategy and preparation of heavyweight prospects. Likewise, the data in the present study may be an interesting resource for professional boxing enthusiasts. Future research should seek to replicate the analysis in the present study across other weight divisions to explore any potential differences between weight classes. Additionally, extending the analysis to female boxing may provide interesting comparisons. © 2022 Mitchell James Finlay. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",10.1371/journal.pone.0263038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123435095&doi=10.1371%2fjournal.pone.0263038&partnerID=40&md5=fad5509738a2aa94e0502d2abceceba0,SCOPUS,No,Esto le puede servir más a un coach de boxeo no a nosotros,,,,,,,,,,,,,,,,,,,
Ivan,"Ranking in Incomplete Tournaments: The Generalized Win Percentage Method, Efficiency, and NCAA Football","I present a parsimonious family of scoring methods for ranking teams in incomplete tournaments. It is especially useful if teams play different number of games. I show that this family of scoring methods satisfies common sense theoretical properties studied by the literature on paired comparisons. I analyze it in terms of efficiency, defined as how close a scoring method comes to capturing what the teams’ win percentages would have been, in a complete tournament. Finally, using data on betting odds, I calibrate the family of scoring methods to match, as closely as possible, the actual rankings that were used to determine the teams that would go on to compete for the championship of the NCAA division 1 football tournament between 2011 and 2023. I find that the rankings used by the NCAA were generally efficient and I quantify the biases present in each year’s ranking. © The Author(s) 2024.",10.1177/15270025241268738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208052480&doi=10.1177%2f15270025241268738&partnerID=40&md5=fce3216877cc419c4011386d7f2deb77,SCOPUS,No,"Es sobre como rankear equipos en torneos incompletos, se ha filtrado solo porque usa los betting ods",,,,,,,,,,,,,,,,,,,
,A Heterogeneous Ensemble of Classifiers for Sports Betting: Based on the English Premier League,"This article presents sports betting as a classification challenge within the realm of machine learning, emphasizing responsible gambling practices. It outlines the challenges and prospects of accurately predicting the outcomes of sporting events, involving complex dataset utilization and sophisticated algorithm application to predict winners, losers, or draws in order to profit from sports betting. The article further discusses the hurdles of maintaining high model classification quality amid data relating to real football matches. A data analysis solution was proposed, followed by the construction of a heterogeneous ensemble of classifiers designed to make sports betting profitable, validated by application on meticulously prepared English Premier League data. Experiments conducted under near-real conditions confirm the research hypothesis, demonstrating the efficacy of heterogeneous ensemble methods in improving betting accuracy. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",10.1007/978-3-031-70816-9_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204613017&doi=10.1007%2f978-3-031-70816-9_28&partnerID=40&md5=2c7fec6f1efac56a18b53d5c8c2dd189,SCOPUS,Si,,"ROI, Accuracy, Recall","conjuntos, Support Vector Machine, Decision Tree, Red Neuronal, adaboost, Recursive Feature Elimination (RFE)",Fútbol,premiere league,masculino,Sí,Eliminación de variables mediante Recursive Feature Elimination (RFE),,"“PositionHT”, “LossesHT”,
“GoalsScoredHT”, “PositionVT” and “DrawsVT”",,,"Evaluar la eficiencia del algorítmo de un conjunto de clasificadores heterogeneos, com roi (rendimiento neto de dinero invertido y ganado)",Victoria o Derrota,Resultado del partido,https://www.ue.katowice.pl/jednostki/katedry/wiik/katedra-uczenia-maszynowego/zrodla-danych/pilka-nozna-dataseteuropeanfootballleagues.html,"2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21, 2021/22",,,"No tiene en cuenta todos los atributos a la hora de utilizar el algoritmo
No compara con otras soluciones"
,Informational efficiency and behaviour within in-play prediction markets,"Studies of financial market informational efficiency have proven burdensome in practice, because it is difficult to pinpoint when news breaks and is known by some or all the participants. We overcome this by designing a framework to detect mispricing, test informational efficiency and evaluate the behavioural biases within high-frequency prediction markets. We demonstrate this using betting exchange data for association football, exploiting the moment when the first goal is scored in a match as major news that breaks cleanly. There are pre-match and in-play mispricing and inefficiency in these markets, explained by reverse favourite-longshot bias (favourite bias). The mispricing tends to increase when the major news is a surprise, such as a goal scored by a longshot team late in a match, with the market underestimating their chances of going on to win These results suggest that, even in prediction markets with large crowds of participants trading state-contingent claims, significant informational inefficiency and behavioural biases can be reflected in prices. © 2021 International Institute of Forecasters",10.1016/j.ijforecast.2021.05.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109112446&doi=10.1016%2fj.ijforecast.2021.05.012&partnerID=40&md5=6bbc6aaf0d49a11bd6ed787d305db305,SCOPUS,Si,,"T tests, ROI, p-valor","f-tests, Regression, ""Weighted Least Squares (WLS),""",Fútbol,premiere league,masculino,Sí,,,"pre-event
implied probability
pre-match probability
Eventos clave del partido",privado,,eficiencia mercado apuestas y detectar sesgos,error de prediccion mercado,"Demuestra sesgo hacia el equipo favorito, se han conseguido mejoras en cuanto al ROI con equipos minusvalorados. Se detecta sobrereaccion cuando anota favorito, infrareaccion cuando marca no favorito",,"2009/10, 2010/11, 2011/12, 2012/13, 2013/14",,Mejoras en cuanto a ROI,centrado en una liga
,Anthropometric Variability of European Taekwondo Champions; [Variabilidad Antropométrica de los Campeones Europeos de Taekwondo],"World Taekwondo (WT) as an Olympic sport gained much more attention than before, and there is a growing need for precise and specific profiles of successful taekwondo competitors. Aim of this investigation was to determine body composition, somatotype, and selected anthropometric parameters/indexes of elite taekwondo champions and medal winners on the most demanding taekwondo tournaments in the World. The sample for this research consisted of n=16 (n=4 male; n=12 female) elite taekwondo champions, n=8 juniors and n=8 seniors, who were European (n=13), and World (n=3) champions of European descent. Data was collected longitudinally for seven years since 2015. Obtained results revealed specific (absolute) phenotype of taekwondo champions, following: PI (11.50 female; 11.85 male), HWR (43.96 female; 44.47 male) and BMI (19.96 female; 22.04 male). Further analysis shows that champions have greater values of body height, and have slightly greater ectomorphy and mesomorphy values in regard to other elite competitors. Presented research is the first publication of referent values for the general anthropometric dataset, and such results represent the anthropometric variability of European WT champions. © 2023, Universidad de la Frontera. All rights reserved.",10.4067/S0717-95022023000200612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161397634&doi=10.4067%2fS0717-95022023000200612&partnerID=40&md5=8a2b8749dfb8255ac8b6aa9228650e4c,SCOPUS,No,Biología,,,,,,,,,,,,,,,,,,,
,How do Bookmakers Interpret Running Performance of Teams in Previous Games? Evidence From the Football Bundesliga,"This study examines how running performance (intensive runs, total distance covered) of football teams in previous games impacts betting markets as it relates to expected win probability. Theoretically, bookmakers could interpret team’s running performance as effort or fatigue, with sports science studies suggesting that distance covered reflects effort and intensive runs signal fatigue. Using data from the 2011/12-2018/19 seasons of the German Bundesliga, beta regression models reveal that bookmakers interpret team’s running performance in previous games contrary to physiological explanations in sports sciences. Tests of market efficiency incorporating these findings do not find a profitable betting strategy for bettors. © The Author(s) 2020.",10.1177/1527002520975827,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096623350&doi=10.1177%2f1527002520975827&partnerID=40&md5=493f8a078ecf684498858e79f84d651b,SCOPUS,Si,,,,,,,,,,,,,,,,,,,,
,The impact of weather on betting outcomes and market behaviour in the NCAA football totals market,"Sports betting markets are an attractive setting to evaluate the degree to which publicly available information is efficiently incorporated into asset prices. Weather information represents one category of potentially undervalued public data, and we assess its impact on wagering outcomes and market behaviour in American college football. We uncover statistically significant effects of weather characteristics on totals market outcomes, indicating that the market does not appropriately assimilate this data into its forecasts. We also demonstrate that weather characteristics are not statistically significant predictors of totals market line movement magnitude. Together, these results suggest the market systematically undervalues weather data. We then develop simple wagering strategies utilizing only three weather characteristics and illustrate the ability to profit. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/13504851.2022.2146651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142275321&doi=10.1080%2f13504851.2022.2146651&partnerID=40&md5=98a3b29084af210da32408853a0974f8,SCOPUS,Si,,,,,,,,,,,,,,,,,,,,
,Modelling dependence in football match outcomes: Traditional assumptions and an alternative proposal,"The approaches routinely used to model the outcomes of football matches are characterized by strong assumptions about the dependence between the number of goals scored by the two competing teams and their marginal distribution. In this work, we argue that the assumptions traditionally made are not always based on solid arguments. Although most of these assumptions have been relaxed in the recent literature, the model introduced by Dixon and Coles in 1997 still represents a point of reference in the betting industry. While maintaining its conceptual simplicity, alternatives based on modelling the conditional distributions allow for the specification of more comprehensive dependence structures. In view of this, we propose a straightforward modification of the usual Poisson marginal models by means of thoroughly chosen marginal and conditional distributions. Careful model validation is provided, and a real data application involving five European leagues is conducted. The novel dependence structure allows to extract key insights on league dynamics and presents practical gains in several betting scenarios. © 2024 The Author(s).",10.1177/1471082X241238802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193511509&doi=10.1177%2f1471082X241238802&partnerID=40&md5=82127ddde75eda13de69821255bdf4d4,SCOPUS,Si,,,,,,,,,,,,,,,,,,,,
,Using convolutional neural network and candlestick representation to predict sports match outcomes,"The interdisciplinary nature of sports and the presence of various systemic and non-systemic factors introduce challenges in predicting sports match outcomes using a single disciplinary approach. In contrast to previous studies that use sports performance metrics and statistical models, this study is the first to apply a deep learning approach in financial time series modeling to predict sports match outcomes. The proposed approach has two main components: a convolutional neural network (CNN) classifier for implicit pattern recognition and a logistic regression model for match outcome judgment. First, the raw data used in the prediction are derived from the betting market odds and actual scores of each game, which are transformed into sports candlesticks. Second, CNN is used to classify the candlesticks time series on a graphical basis. To this end, the original 1D time series are encoded into 2D matrix images using Gramian angular field and are then fed into the CNN classifier. In this way, the winning probability of each matchup team can be derived based on historically implied behavioral patterns. Third, to further consider the differences between strong and weak teams, the CNN classifier adjusts the probability of winning the match by using the logistic regression model and then makes a final judgment regarding the match outcome. We empirically test this approach using 18,944 National Football League game data spanning 32 years and find that using the individual historical data of each team in the CNN classifier for pattern recognition is better than using the data of all teams. The CNN in conjunction with the logistic regression judgment model outperforms the CNN in conjunction with SVM, Naïve Bayes, Adaboost, J48, and random forest, and its accuracy surpasses that of betting market prediction. © 2021 by the author. Licensee MDPI, Basel, Switzerland.",10.3390/app11146594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111244183&doi=10.3390%2fapp11146594&partnerID=40&md5=161f8aa8dd069ef1bfc4e5eeee205952,SCOPUS,Si,,,,,,,,,,,,,,,,,,,,
